client-address,client-guid,request-time,service-guid,retries-request,packets-requested,packets-serviced,max-hole-size
229.8.97.235,24113397-eb06-4020-bf79-22f576fea3e2,2016-06-28 12:27:47 UTC,e16b762f-d0a2-4e1f-95a2-2ee9985c6aff,6,16,11,7
79.200.199.206,a3ecf55a-6220-428c-8db9-8079d7ebd878,2016-06-28 12:28:13 UTC,318e9d5d-53f9-43eb-a9d1-88b5c51687f8,2,13,12,19
89.213.140.79,3039974d-855d-4bdc-9537-7b4f2730f97f,2016-06-28 12:30:10 UTC,2536e29e-3570-4d53-be7c-b9d059c632a7,6,6,10,4
154.145.218.119,6cb04894-fa35-41f1-ad53-84d74b549dd5,2016-06-28 12:30:57 UTC,92aa1c5c-98ab-49f8-a427-4c0bc49d6872,8,12,1,7
136.86.149.164,5eed724f-e8fc-45e7-9fa0-3860d0b13943,2016-06-28 12:33:52 UTC,dc81cacc-af4f-4b0a-8a10-34e106ffdf23,6,0,15,15
195.253.189.63,85abf514-5509-4a3c-a1ee-6b10b72f1b72,2016-06-28 12:34:40 UTC,8232ac92-6020-4101-88c0-74d51ea1542b,5,16,14,13
88.133.216.130,e82f7767-ff00-41bb-abef-70e12318e510,2016-06-28 12:37:15 UTC,caaca31e-bee2-4ed3-8e72-5dab24079744,7,18,14,18
166.160.242.208,15d7c9ed-bc30-4f87-9452-1e8c3c7fbe0b,2016-06-28 12:38:30 UTC,d224de85-cd41-4f03-bff6-de9815877975,6,12,4,11
33.74.31.254,b81e57b0-4606-4a6a-848d-2e2d9f77cf72,2016-06-28 12:39:06 UTC,b3be9c1c-5712-420d-a359-e9ef0e93c9c5,7,16,15,10
206.41.141.227,4b8091f9-747c-4964-a53e-a47a021a04eb,2016-06-28 12:39:59 UTC,b8cf6fd8-06e2-4e5b-8ed6-6efc8e0ecda3,5,9,12,7
192.226.195.176,245b4dfd-9a3b-4656-8ebd-d893a974ad9c,2016-06-28 12:40:14 UTC,8105e514-c0d5-40ba-8c7a-90bf998ba9e4,2,12,15,7
241.205.83.197,e0669fc1-d623-45e0-b816-191d9da79985,2016-06-28 12:40:48 UTC,d15e4790-67f7-4488-a28d-32ced8673c58,7,14,14,8
254.118.151.41,d3c0ca30-8a57-4535-9167-69e950df32ae,2016-06-28 12:41:20 UTC,98279a79-c822-45b4-8429-45ce97a336e5,5,12,17,12
48.240.206.11,255b90f8-e6e7-4be3-88de-0e1c35413af5,2016-06-28 12:45:45 UTC,35501e3f-e06c-4cb5-9062-e8611a591cab,6,15,14,7
133.162.159.139,8796189b-bda4-4096-8ef6-0eb461443b40,2016-06-28 12:48:44 UTC,6c7444d3-9bca-46d7-a8c6-96939981ae01,7,14,16,13
244.225.8.162,ca7050d8-e536-4d72-84fc-b1d6d7ac72d9,2016-06-28 12:48:47 UTC,4ab70dbe-f5e7-4688-aa5c-2ae75faf6c03,8,10,3,6
81.231.11.150,37b28482-db5f-4e2d-a35c-1aa650137d7c,2016-06-28 12:50:10 UTC,0ee908d7-d767-4da5-9cbe-fc78e9c6a192,9,9,10,13
200.47.19.120,14946fd5-489e-4865-8e6a-e0cb15b7d197,2016-06-28 12:52:17 UTC,dc81cacc-af4f-4b0a-8a10-34e106ffdf23,3,4,12,16
91.254.170.48,70e496c2-e9a0-45b5-8ee7-f34849b9026a,2016-06-28 12:53:02 UTC,90e5b65b-4f12-4bb2-9554-3f5969f4d78b,5,7,15,9
9.201.96.188,820f8e8e-4710-4560-af46-81133624eea1,2016-06-28 12:53:18 UTC,8105e514-c0d5-40ba-8c7a-90bf998ba9e4,6,12,10,11
208.180.58.114,257a4a2c-5f15-4462-83dd-44cbedafae21,2016-06-28 12:53:39 UTC,90e5b65b-4f12-4bb2-9554-3f5969f4d78b,6,17,12,17
128.84.243.131,ce055c42-e25c-4f78-894f-6d75bd28f16f,2016-06-28 12:54:14 UTC,5d35c640-9cf3-43ec-ae1a-5feebed26a37,5,9,17,13
