client-address,client-guid,request-time,service-guid,retries-request,packets-requested,packets-serviced,max-hole-size
124.253.117.135,7b5b34c5-2d3a-46c8-b462-58ee432c8f0f,2016-06-29 07:22:30 ADT,d15e4790-67f7-4488-a28d-32ced8673c58,5,15,13,11
184.12.162.43,0802bb30-2feb-41de-aa5e-67ea7cda91ef,2016-06-29 06:32:41 ADT,d15e4790-67f7-4488-a28d-32ced8673c58,6,16,6,9
77.172.69.189,66592c05-2365-4724-b823-e84c3cff3213,2016-06-29 07:30:14 ADT,ef48c441-4a26-4f90-97cf-cc3d0665b814,8,11,0,14
122.229.58.131,088f93cb-f0a8-41ea-acf8-7a29f029ed78,2016-06-28 13:08:59 ADT,d70c87de-7837-450c-9965-17c9f366d183,6,8,10,5
120.59.207.115,9ddfe5b1-670f-4fab-a839-b33e6c7bae4b,2016-06-29 01:04:47 ADT,26ea4cf2-ed09-43d4-a8e6-e3ff1f8e5893,6,13,11,13
120.59.207.115,9ddfe5b1-670f-4fab-a839-b33e6c7bae4b,2016-06-28 18:01:57 ADT,3fb4c246-cf94-4f60-bf47-b709b288f9b2,8,11,16,12
220.241.72.217,d757e3cc-da44-4eeb-8a65-5ea358c59c10,2016-06-28 17:43:57 ADT,d15e4790-67f7-4488-a28d-32ced8673c58,8,15,12,7
127.123.221.125,78189d37-040f-4bd4-9d32-e19e9e63ad9b,2016-06-29 00:56:25 ADT,8105e514-c0d5-40ba-8c7a-90bf998ba9e4,5,12,13,11
7.57.136.112,801d175e-02cf-406b-8981-073c298e59f2,2016-06-29 04:17:40 ADT,a6c5d611-45be-43bf-a027-c1e98a89c8f6,6,15,3,17
192.226.195.176,245b4dfd-9a3b-4656-8ebd-d893a974ad9c,2016-06-28 21:05:54 ADT,ef48c441-4a26-4f90-97cf-cc3d0665b814,4,6,14,14
42.215.105.48,0dbb1321-4454-41f5-9b19-aee0cc8e8de5,2016-06-28 21:05:56 ADT,26ea4cf2-ed09-43d4-a8e6-e3ff1f8e5893,7,4,17,3
52.114.196.208,4e581c7f-0033-4386-a655-fdc5a77f85e4,2016-06-28 14:18:28 ADT,19f26076-5d21-4200-b26c-0f32cd87ebde,2,9,15,11
176.146.5.46,96cfcc3b-69a5-4bed-93ec-a0fb0ac9253d,2016-06-28 20:19:17 ADT,0a5f0733-d058-4738-8666-f0468c5ee9c3,6,4,16,10
102.94.93.111,973b1757-bb6e-42db-9e9d-e1c4446c42d0,2016-06-29 00:38:03 ADT,92aa1c5c-98ab-49f8-a427-4c0bc49d6872,8,14,12,15
223.145.155.158,779846ad-de04-431b-8942-ae835fa1a215,2016-06-29 05:36:13 ADT,0a5f0733-d058-4738-8666-f0468c5ee9c3,7,13,16,16
12.239.186.1,9147765a-9f0a-41c0-a18d-cb618e7ac936,2016-06-28 14:06:26 ADT,0d5157f7-8012-4455-b66f-4f81d14092b3,5,6,17,11
7.57.136.112,801d175e-02cf-406b-8981-073c298e59f2,2016-06-28 15:18:19 ADT,19f26076-5d21-4200-b26c-0f32cd87ebde,5,11,12,15
48.7.16.229,c86211fe-7464-4c12-bf1d-1b6ba809463a,2016-06-28 23:52:17 ADT,edf32a15-bb1c-42f4-9fe6-afa9f9b21522,5,3,8,5
211.76.96.253,7fb8a872-6b46-4704-b7d4-183fe8f886a6,2016-06-28 20:14:11 ADT,f78fb4fb-3e02-4f42-9c15-45480342cba9,4,6,1,13
